Adaptive Resistance,Racial ability,Increased resistance to recently encountered effect types.
Ancestral Strength,Racial ability,Increased physical strength.
Ancestral Swiftness,Racial ability,Increased speed and reflexes.
Astral Affinity,Racial ability,Increased resistance to dimension effects and astral forces. Dimension abilities have increased effect and transcendent damage is increased.
Boon Aptitude,Racial ability,You are more likely to awaken boon-related essence abilities than other ability types. Your boon abilities have increased effect.
Celestial Bounty,Racial ability,Increased mana recovery rate.
Celestial Swiftness,Racial ability,Increased speed and reflexes.
Draconic Might,Racial ability,Enhanced physical strength.
Draconic Power,Racial ability,Significantly enhanced certain spell types, varying by specific dragon ancestry. Does not increase likelihood of awakening essence abilities of the spell type.
Dragon Ancestry,Racial ability,Determines specific factors of other racial gifts and modifies certain essence abilities.
Dragon Breath,Racial ability,Special attack, specific form varies with dragon ancestry.
Dragon Scales,Racial ability,Enhanced resilience to most forms of damage and increased resistance to certain effects, varying by specific dragon ancestry.
Earth Affinity
Earth Born,Racial ability,Enhanced innate damage reduction.
Essence Gift 1,Racial ability,This racial ability evolves when a new Essence is absorbed.
Essence Gift 2,Racial ability,This racial ability evolves when a new Essence is absorbed.
Essence Gift 3,Racial ability,This racial ability evolves when a new Essence is absorbed.
Essence Gift 4,Racial ability,This racial ability evolves when a new Essence is absorbed.
Fire Affinity
Flame Investiture,Racial ability,Superheat objects. (Active ability)
Grace,Racial ability,Enhanced agility.
Heart of the Earth,Racial ability,Increased stamina and mana recovery when meditating.
Holy Affinity,Racial ability,Increased resistance to holy effects. Holy abilities have increased effect and holy damage is increased. Healing abilities have increased effect and holy boons placed on you have increased effect.
Human Ambition,Racial ability,Essence abilities advance more quickly. (Roughly 10-15%)
Leonid's Roar,Racial ability,Roar loudly to increase the [Power] and [Speed] attributes of nearby allies.
Life Affinity,Racial ability,Effects used or received with a positive effect on life have greater effect.
Life Fire,Racial ability,Enhanced health and stamina recovery based on heat
Magic Affinity,Racial ability,Effects with the magic sub-type are enhanced. Boons received with the magic sub-type are enhanced. Increased resistance to same magic sub-type effects.
Mana Beacon,Racial ability,Stabilize ambient magic. (Active ability)
Mana Integrity,Racial ability,Ongoing mana costs for maintained abilities are reduced. Increased resistance to mana drain effects.
Mystic Bloodline,Racial ability,Increased maximum mana.
Nature Affinity,Racial ability,??? <related abilities and resistances are enhanced>
Special Ability Aptitude,Racial ability,You are more likely to awaken special abilities than other ability types. Your special abilities have increased effect.
Special Attack Aptitude,Racial ability,You are more likely to awaken special attacks than other ability types. Your special attacks have increased effect.
Spell Aptitude,Racial ability,You are more likely to awaken spells than other ability types. Your spells have increased effect.
Spellborn,Racial ability,Increased maximum mana.
Sprint,Racial ability,Run at extreme speed for extreme stamina cost.
Tireless,Racial ability,Increased resistance to stamina drain effects. Essence abilities consume less stamina to use.
Wellspring,Racial ability,Increased mana recovery rate.
